Ax,Ay,Az,Gx,Gy,Gz,Label
0.001,0.001,1.021,0.534,-2.249,1.374,Idle
0.002,0.001,1.021,0.499,-2.240,1.356,Idle
0.003,-0.003,1.019,0.516,-2.266,1.418,Idle
0.003,-0.006,1.020,0.507,-2.240,1.374,Idle
0.001,0.001,1.020,0.543,-2.266,1.356,Idle
0.000,0.002,1.020,0.525,-2.284,1.391,Idle
0.003,-0.004,1.018,0.560,-2.266,1.391,Idle
0.004,-0.006,1.019,0.516,-2.240,1.418,Idle
0.001,-0.001,1.018,0.543,-2.205,1.356,Idle
0.001,0.002,1.019,0.551,-2.223,1.356,Idle
0.003,-0.002,1.019,0.499,-2.249,1.400,Idle
0.003,-0.004,1.021,0.499,-2.249,1.409,Idle
0.002,-0.002,1.022,0.499,-2.249,1.365,Idle
0.002,0.000,1.021,0.490,-2.231,1.409,Idle
0.002,-0.002,1.021,0.507,-2.257,1.400,Idle
0.003,-0.002,1.019,0.507,-2.266,1.435,Idle
0.002,-0.001,1.020,0.507,-2.240,1.409,Idle
0.002,-0.001,1.021,0.543,-2.275,1.391,Idle
0.002,-0.004,1.019,0.525,-2.249,1.374,Idle
0.002,-0.001,1.019,0.499,-2.240,1.391,Idle
0.001,0.001,1.018,0.507,-2.257,1.409,Idle
0.003,-0.001,1.021,0.534,-2.223,1.391,Idle
0.003,-0.009,1.021,0.586,-2.214,1.374,Idle
-0.000,-0.002,1.021,0.543,-2.240,1.435,Idle
0.001,0.000,1.021,0.534,-2.214,1.418,Idle
0.003,-0.004,1.022,0.516,-2.257,1.383,Idle
0.003,-0.006,1.017,0.543,-2.249,1.409,Idle
0.001,0.003,1.021,0.551,-2.266,1.365,Idle
0.002,-0.001,1.020,0.525,-2.249,1.365,Idle
0.006,-0.004,1.017,0.525,-2.266,1.391,Idle
0.003,-0.004,1.017,0.516,-2.275,1.400,Idle
0.001,0.000,1.021,0.534,-2.284,1.409,Idle
0.005,-0.003,1.020,0.551,-2.240,1.391,Idle
0.004,-0.006,1.019,0.525,-2.257,1.418,Idle
0.002,0.001,1.023,0.481,-2.257,1.365,Idle
0.002,0.002,1.024,0.534,-2.249,1.435,Idle
0.001,-0.003,1.017,0.543,-2.284,1.374,Idle
0.003,-0.006,1.019,0.481,-2.231,1.409,Idle
0.002,-0.002,1.018,0.507,-2.284,1.391,Idle
0.002,0.000,1.019,0.490,-2.257,1.400,Idle
0.003,-0.003,1.018,0.543,-2.223,1.383,Idle
0.003,-0.004,1.020,0.490,-2.223,1.400,Idle
-0.000,-0.001,1.020,0.543,-2.257,1.365,Idle
0.002,-0.003,1.019,0.516,-2.266,1.400,Idle
0.005,-0.005,1.020,0.525,-2.257,1.409,Idle
0.005,-0.003,1.021,0.516,-2.284,1.365,Idle
0.001,-0.001,1.022,0.525,-2.257,1.426,Idle
0.001,-0.002,1.019,0.534,-2.257,1.383,Idle
0.002,-0.003,1.020,0.534,-2.240,1.409,Idle
0.003,-0.003,1.019,0.560,-2.249,1.409,Idle
0.001,-0.000,1.019,0.499,-2.257,1.391,Idle
0.002,-0.003,1.019,0.534,-2.231,1.400,Idle
0.002,-0.004,1.020,0.534,-2.266,1.409,Idle
